"year_month","buildings","revenue","three11","transportation","law","aviation","ethics","environment","police","fire","oemc","health","compliance","procurement","mayor","water","streets","admin.hearing","human.resources","budget","doit","fleet","human.relations","special.events","clerk","cultural.x","comm.dev","planning","animal","police.board","business.affairs","ipra","family","license.commission","disability","chicago.library","cultural.y","treasurer","zoning","graphics","fleet.facilities"
2002-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-01,1936,12,14,52,6,14,4,138,333,78,106,26,4,16,2,28,93,69,17,8,4,NA,2,5,13,2,7,NA,NA,1,92,3,NA,NA,NA,2,NA,1,65,NA,NA
2011-08-01,836,14,12,26,10,14,14,NA,426,634,139,46,1,24,1,37,150,66,13,2,1,NA,3,NA,8,NA,NA,NA,54,4,113,10,2,NA,NA,1,1,3,NA,NA,NA
2012-08-01,716,NA,22,47,18,7,2,NA,359,783,137,169,NA,16,2,29,162,113,14,NA,6,NA,NA,NA,13,NA,NA,89,103,3,118,13,4,NA,NA,1,4,1,NA,NA,8
2013-08-01,928,NA,13,50,5,8,7,NA,497,787,119,20,NA,21,9,26,215,118,12,NA,5,NA,1,NA,15,NA,NA,62,91,NA,111,8,6,NA,NA,1,2,2,NA,NA,6
2014-08-01,770,NA,17,91,14,23,2,NA,NA,829,120,NA,NA,13,17,59,205,269,16,4,4,NA,NA,NA,16,NA,NA,42,60,6,105,68,8,1,NA,3,5,1,NA,NA,11
2010-09-01,1930,7,16,74,15,9,2,112,344,96,87,28,2,22,5,13,120,88,11,5,1,2,5,5,17,4,10,NA,NA,1,67,11,NA,NA,NA,2,NA,2,67,1,NA
2011-09-01,884,21,25,27,12,12,5,NA,408,652,124,76,NA,20,6,27,154,83,8,2,1,NA,NA,NA,7,NA,NA,NA,32,4,84,9,4,NA,NA,NA,2,2,NA,NA,NA
2012-09-01,736,NA,24,44,23,9,2,NA,330,561,130,145,NA,38,8,26,129,84,14,NA,6,NA,1,NA,13,NA,NA,54,104,4,87,12,2,1,NA,3,1,1,NA,NA,6
